noun_id;german_noun;article;plural_form;english_translation;pronunciation_ipa;example_de;example_en;category;subcategory;tags;frequency;level;difficulty;article_pattern;declension_nom;declension_acc;declension_dat;declension_gen;cultural_note
N038;Sohn;der;Söhne;son;[zoːn];Das ist mein Sohn.;That is my son.;People;Family;common,family;81;4;2;Masculine;der Sohn;den Sohn;dem Sohn;des Sohnes;
N039;Tochter;die;Töchter;daughter;[ˈtɔxtɐ];Meine Tochter studiert in Berlin.;My daughter studies in Berlin.;People;Family;common,family;81;4;2;Feminine;die Tochter;die Tochter;der Tochter;der Tochter;
N040;Wohnung;die;Wohnungen;apartment, flat;[ˈvoːnʊŋ];Ich suche eine neue Wohnung.;I am looking for a new apartment.;Home;Rooms;common,home;80;5;1;Feminine;die Wohnung;die Wohnung;der Wohnung;der Wohnung;
N041;Idee;die;Ideen;idea;[iˈdeː];Ich habe eine gute Idee.;I have a good idea.;Abstract;Concepts;common;80;15;1;Feminine;die Idee;die Idee;der Idee;der Idee;
N042;Platz;der;Plätze;place, square, seat;[plats];Ist dieser Platz frei?;Is this seat free?;Places;Locations;common,travel,daily;79;7;2;Masculine;der Platz;den Platz;dem Platz;des Platzes;
N043;Herr;der;Herren;Mr., gentleman;[hɛʁ];Guten Tag, Herr Schmidt.;Good day, Mr. Schmidt.;People;Title;common,formal;79;1;3;Masculine;der Herr;den Herrn;dem Herrn;des Herrn;An n-declension noun.
N044;Kaffee;der;Kaffees;coffee;[ˈkafe];Ich trinke einen Kaffee.;I'm drinking a coffee.;Food & Drink;Beverages;common,daily;78;6;1;Masculine;der Kaffee;den Kaffee;dem Kaffee;des Kaffees;
N045;Tee;der;Tees;tea;[teː];Möchtest du einen Tee?;Would you like a tea?;Food & Drink;Beverages;common,daily;78;6;1;Masculine;der Tee;den Tee;dem Tee;des Tees;
N046;Brot;das;Brote;bread;[bʁoːt];Ich esse Brot mit Käse.;I eat bread with cheese.;Food & Drink;Bakery;common,daily,essential;77;6;1;Neuter;das Brot;das Brot;dem Brot;des Brotes;Germany is famous for its wide variety of breads.
N047;Bahnhof;der;Bahnhöfe;train station;[ˈbaːnhoːf];Wo ist der Bahnhof?;Where is the train station?;Places;Transport;common,travel;77;7;2;Masculine;der Bahnhof;den Bahnhof;dem Bahnhof;des Bahnhofes;A central hub in nearly every German town.
N048;Straße;die;Straßen;street;[ˈʃtʁaːsə];Ich wohne in der Schillerstraße.;I live on Schiller Street.;Places;Locations;common,daily;76;5;1;Feminine;die Straße;die Straße;der Straße;der Straße;
N049;Körper;der;Körper;body;[ˈkœʁpɐ];Mein ganzer Körper tut weh.;My whole body hurts.;Body;General;common;76;12;1;Masculine;der Körper;den Körper;dem Körper;des Körpers;
N050;Morgen;der;Morgen;morning;[ˈmɔʁɡn̩];Guten Morgen!;Good morning!;Time;Periods;common,daily;75;1;1;Masculine;der Morgen;den Morgen;dem Morgen;des Morgens;
N051;Abend;der;Abende;evening;[ˈaːbənt];Ich gehe am Abend ins Kino.;I'm going to the cinema in the evening.;Time;Periods;common,daily;75;1;1;Masculine;der Abend;den Abend;dem Abend;des Abends;
N052;Fuß;der;Füße;foot;[fuːs];Mein rechter Fuß ist verletzt.;My right foot is injured.;Body;Limbs;common;74;12;2;Masculine;der Fuß;den Fuß;dem Fuß;des Fußes;
N053;Fenster;das;Fenster;window;[ˈfɛnstɐ];Das Fenster ist offen.;The window is open.;Home;Objects;common,home;74;5;1;Neuter;das Fenster;das Fenster;dem Fenster;des Fensters;
N054;Bett;das;Betten;bed;[bɛt];Ich gehe ins Bett.;I'm going to bed.;Home;Furniture;common,home;73;5;1;Neuter;das Bett;das Bett;dem Bett;des Bettes;
N055;Stuhl;der;Stühle;chair;[ʃtuːl];Der Stuhl ist bequem.;The chair is comfortable.;Home;Furniture;common,home;73;5;2;Masculine;der Stuhl;den Stuhl;dem Stuhl;des Stuhls;
N056;Himmel;der;Himmel;sky, heaven;[ˈhɪməl];Der Himmel ist blau.;The sky is blue.;Nature;Weather;common;72;22;1;Masculine;der Himmel;den Himmel;dem Himmel;des Himmels;
N057;Sonne;die;Sonnen;sun;[ˈzɔnə];Die Sonne scheint.;The sun is shining.;Nature;Weather;common;72;22;1;Feminine;die Sonne;die Sonne;der Sonne;der Sonne;
N058;Regen;der;(no plural);rain;[ˈʁeːɡn̩];Ich mag den Regen nicht.;I don't like the rain.;Nature;Weather;common;71;22;1;Masculine;der Regen;den Regen;dem Regen;des Regens;
N059;Musik;die;Musiken;music;[muˈziːk];Hörst du gern Musik?;Do you like listening to music?;Leisure;Arts;common,hobby;71;26;1;Feminine;die Musik;die Musik;der Musik;der Musik;
N060;Film;der;Filme;movie, film;[fɪlm];Wir sehen einen Film.;We are watching a movie.;Leisure;Media;common,hobby;70;26;1;Masculine;der Film;den Film;dem Film;des Films;
N061;Sport;der;Sportarten;sport;[ʃpɔʁt];Ich mache gern Sport.;I like to do sports.;Leisure;Activities;common,hobby;70;26;1;Masculine;der Sport;den Sport;dem Sport;des Sports;
N062;Spiel;das;Spiele;game;[ʃpiːl];Das ist nur ein Spiel.;It's only a game.;Leisure;Activities;common,hobby;69;11;1;Neuter;das Spiel;das Spiel;dem Spiel;des Spieles;
N063;Hund;der;Hunde;dog;[hʊnt];Der Hund bellt.;The dog is barking.;Animals;Pets;common,home;69;11;1;Masculine;der Hund;den Hund;dem Hund;des Hundes;
N064;Katze;die;Katzen;cat;[ˈkat͡sə];Die Katze schläft.;The cat is sleeping.;Animals;Pets;common,home;68;11;1;Feminine;die Katze;die Katze;der Katze;der Katze;
N065;Bruder;der;Brüder;brother;[ˈbʁuːdɐ];Mein Bruder ist älter als ich.;My brother is older than me.;People;Family;common,family;68;4;2;Masculine;der Bruder;den Bruder;dem Bruder;des Bruders;
N066;Schwester;die;Schwestern;sister;[ˈʃvɛstɐ];Hast du eine Schwester?;Do you have a sister?;People;Family;common,family;68;4;1;Feminine;die Schwester;die Schwester;der Schwester;der Schwester;
N067;Familie;die;Familien;family;[faˈmiːli̯ə];Meine Familie ist groß.;My family is big.;People;Family;common,family;67;4;1;Feminine;die Familie;die Familie;der Familie;der Familie;
N068;Eltern;die;(no singular);parents;[ˈɛltɐn];Meine Eltern leben in Hamburg.;My parents live in Hamburg.;People;Family;common,family;67;4;1;Plural only;die Eltern;die Eltern;den Eltern;der Eltern;
N069;Apfel;der;Äpfel;apple;[ˈapfəl];Ein Apfel am Tag ist gesund.;An apple a day is healthy.;Food & Drink;Fruit;common,food;66;6;2;Masculine;der Apfel;den Apfel;dem Apfel;des Apfels;
N070;Banane;die;Bananen;banana;[baˈnaːnə];Die Banane ist gelb.;The banana is yellow.;Food & Drink;Fruit;common,food;66;6;1;Feminine;die Banane;die Banane;der Banane;der Banane;
N071;Käse;der;Käse;cheese;[ˈkɛːzə];Ich esse gern Käse.;I like to eat cheese.;Food & Drink;Dairy;common,food;65;6;1;Masculine;der Käse;den Käse;dem Käse;des Käses;
N072;Milch;die;(no plural);milk;[mɪlç];Ich trinke Kaffee mit Milch.;I drink coffee with milk.;Food & Drink;Beverages;common,food;65;6;1;Feminine;die Milch;die Milch;der Milch;der Milch;
N073;Schrank;der;Schränke;closet, cupboard;[ʃʁaŋk];Die Kleidung ist im Schrank.;The clothes are in the closet.;Home;Furniture;common,home;64;5;2;Masculine;der Schrank;den Schrank;dem Schrank;des Schrankes;
N074;Küche;die;Küchen;kitchen;[ˈkʏçə];Wir kochen in der Küche.;We cook in the kitchen.;Home;Rooms;common,home;64;5;1;Feminine;die Küche;die Küche;der Küche;der Küche;
N075;Bad;das;Bäder;bathroom;[baːt];Das Bad ist neben der Küche.;The bathroom is next to the kitchen.;Home;Rooms;common,home;63;5;2;Neuter;das Bad;das Bad;dem Bad;des Bades;
N076;Schlüssel;der;Schlüssel;key;[ˈʃlʏsəl];Ich habe meinen Schlüssel verloren.;I lost my key.;Objects;Tools;common,daily;63;9;1;Masculine;der Schlüssel;den Schlüssel;dem Schlüssel;des Schlüssels;
N077;Tasche;die;Taschen;bag, pocket;[ˈtaʃə];Meine Tasche ist schwer.;My bag is heavy.;Objects;Accessories;common,daily;62;9;1;Feminine;die Tasche;die Tasche;der Tasche;der Tasche;
N078;Handy;das;Handys;mobile phone;[ˈhɛndi];Wo ist mein Handy?;Where is my mobile phone?;Objects;Electronics;common,daily;62;9;1;Neuter;das Handy;das Handy;dem Handy;des Handys;
N079;Computer;der;Computer;computer;[kɔmˈpjuːtɐ];Der Computer ist neu.;The computer is new.;Work & Study;Electronics;common,work;61;10;1;Masculine;der Computer;den Computer;dem Computer;des Computers;
N080;Sprache;die;Sprachen;language;[ˈʃpʁaːxə];Deutsch ist eine schwere Sprache.;German is a difficult language.;Communication;Language;common,learning;61;2;1;Feminine;die Sprache;die Sprache;der Sprache;der Sprache;
N081;Antwort;die;Antworten;answer;[ˈantvɔʁt];Ich weiß die Antwort nicht.;I don't know the answer.;Communication;Language;common,learning;60;7;1;Feminine;die Antwort;die Antwort;der Antwort;der Antwort;
N082;Hilfe;die;Hilfen;help;[ˈhɪlfə];Ich brauche Hilfe.;I need help.;Abstract;Concepts;common,daily;60;13;1;Feminine;die Hilfe;die Hilfe;der Hilfe;der Hilfe;
N083;Monat;der;Monate;month;[ˈmoːnat];Der Monat hat 30 oder 31 Tage.;The month has 30 or 31 days.;Time;Calendar;common,daily;59;8;1;Masculine;der Monat;den Monat;dem Monat;des Monats;
N084;Supermarkt;der;Supermärkte;supermarket;[ˈzuːpɐmaʁkt];Ich gehe in den Supermarkt.;I'm going to the supermarket.;Places;Shops;common,daily;59;14;2;Masculine;der Supermarkt;den Supermarkt;dem Supermarkt;des Supermarktes;
N085;Restaurant;das;Restaurants;restaurant;[ʁɛstoˈʁɑ̃ː];Wir essen heute im Restaurant.;We are eating at the restaurant today.;Places;Shops;common,leisure;58;22;1;Neuter;das Restaurant;das Restaurant;dem Restaurant;des Restaurants;
N086;Rechnung;die;Rechnungen;bill, invoice;[ˈʁɛçnʊŋ];Die Rechnung, bitte!;The bill, please!;Objects;Finance;common,daily;58;22;1;Feminine;die Rechnung;die Rechnung;der Rechnung;der Rechnung;
N087;Zug;der;Züge;train;[t͡suːk];Der Zug hat Verspätung.;The train is delayed.;Transport;Vehicles;common,travel;57;7;2;Masculine;der Zug;den Zug;dem Zug;des Zuges;
N088;Bus;der;Busse;bus;[bʊs];Ich nehme den Bus.;I'm taking the bus.;Transport;Vehicles;common,travel;57;7;1;Masculine;der Bus;den Bus;dem Bus;des Busses;
N089;Fahrrad;das;Fahrräder;bicycle;[ˈfaːɐ̯ʁaːt];Ich fahre mit dem Fahrrad zur Arbeit.;I go to work by bicycle.;Transport;Vehicles;common,leisure;56;26;2;Neuter;das Fahrrad;das Fahrrad;dem Fahrrad;des Fahrrades;Very popular in German cities.
N090;Flugzeug;das;Flugzeuge;airplane;[ˈfluːkˌt͡sɔɪ̯k];Das Flugzeug fliegt nach New York.;The airplane is flying to New York.;Transport;Vehicles;travel;56;20;1;Neuter;das Flugzeug;das Flugzeug;dem Flugzeug;des Flugzeuges;
N091;Urlaub;der;Urlaube;vacation, holiday;[ˈuːɐ̯laʊ̯p];Wir machen Urlaub in Italien.;We are vacationing in Italy.;Leisure;Travel;common,travel;55;26;1;Masculine;der Urlaub;den Urlaub;dem Urlaub;des Urlaubs;
N092;Reise;die;Reisen;trip, journey;[ˈʁaɪ̯zə];Gute Reise!;Have a good trip!;Leisure;Travel;common,travel;55;26;1;Feminine;die Reise;die Reise;der Reise;der Reise;
N093;Hose;die;Hosen;pants, trousers;[ˈhoːzə];Meine Hose ist blau.;My pants are blue.;Clothing;Garments;common,daily;54;9;1;Feminine;die Hose;die Hose;der Hose;der Hose;
N094;Hemd;das;Hemden;shirt;[hɛmt];Er trägt ein weißes Hemd.;He is wearing a white shirt.;Clothing;Garments;common,daily;54;9;2;Neuter;das Hemd;das Hemd;dem Hemd;des Hemdes;
A business shirt, specifically.
N095;Jacke;die;Jacken;jacket;[ˈjakə];Zieh eine Jacke an, es ist kalt.;Put on a jacket, it's cold.;Clothing;Garments;common,daily;53;9;1;Feminine;die Jacke;die Jacke;der Jacke;der Jacke;
N096;Schuh;der;Schuhe;shoe;[ʃuː];Ich brauche neue Schuhe.;I need new shoes.;Clothing;Accessories;common,daily;53;9;1;Masculine;der Schuh;den Schuh;dem Schuh;des Schuhes;
N097;Farbe;die;Farben;color;[ˈfaʁbə];Was ist deine Lieblingsfarbe?;What is your favorite color?;Abstract;Appearance;common;52;11;1;Feminine;die Farbe;die Farbe;der Farbe;der Farbe;
N098;Größe;die;Größen;size, height;[ˈɡʁøːsə];Welche Größe brauchen Sie?;What size do you need?;Abstract;Measurement;common,shopping;52;11;1;Feminine;die Größe;die Größe;der Größe;der Größe;
N099;Preis;der;Preise;price;[pʁaɪ̯s];Der Preis ist zu hoch.;The price is too high.;Objects;Finance;common,shopping;51;9;1;Masculine;der Preis;den Preis;dem Preis;des Preises;
N100;Euro;der;Euros;Euro;[ˈɔɪ̯ʁo];Das kostet zehn Euro.;That costs ten Euros.;Objects;Finance;common,daily;51;9;1;Masculine;der Euro;den Euro;dem Euro;des Euros;The official currency in Germany and much of the EU.
N101;Arzt;der;Ärzte;doctor (male);[aːɐ̯t͡st];Ich muss zum Arzt gehen.;I have to go to the doctor.;People;Professions;common,health;65;13;2;Masculine;der Arzt;den Arzt;dem Arzt;des Arztes;
N102;Lehrer;der;Lehrer;teacher (male);[ˈleːʁɐ];Der Lehrer erklärt die Grammatik.;The teacher explains the grammar.;People;Professions;common,learning;64;9;1;Masculine;der Lehrer;den Lehrer;dem Lehrer;des Lehrers;
N103;Student;der;Studenten;student (male, university);[ʃtuˈdɛnt];Er ist Student an der Universität.;He is a student at the university.;People;Education;common,learning;63;9;3;Masculine;der Student;den Studenten;dem Studenten;des Studenten;An n-declension noun.
N104;Schüler;der;Schüler;pupil (male, school);[ˈʃyːlɐ];Der Schüler macht seine Hausaufgaben.;The pupil is doing his homework.;People;Education;common,learning;62;9;1;Masculine;der Schüler;den Schüler;dem Schüler;des Schülers;
N105;Polizei;die;Polizeien;police;[poliˈt͡saɪ̯];Rufen Sie die Polizei!;Call the police!;Society;Services;common;61;28;1;Feminine;die Polizei;die Polizei;der Polizei;der Polizei;
N106;Feuerwehr;die;Feuerwehren;fire department;[ˈfɔɪ̯ɐˌveːɐ̯];Die Feuerwehr kommt schnell.;The fire department is coming quickly.;Society;Services;common;50;28;1;Feminine;die Feuerwehr;die Feuerwehr;der Feuerwehr;der Feuerwehr;
N107;Krankenhaus;das;Krankenhäuser;hospital;[ˈkʁaŋkənˌhaʊ̯s];Sie ist im Krankenhaus.;She is in the hospital.;Places;Health;common,health;58;13;2;Neuter;das Krankenhaus;das Krankenhaus;dem Krankenhaus;des Krankenhauses;
N108;Apotheke;die;Apotheken;pharmacy;[apoˈteːkə];Ich gehe zur Apotheke.;I'm going to the pharmacy.;Places;Health;common,health;57;13;1;Feminine;die Apotheke;die Apotheke;der Apotheke;der Apotheke;Recognizable by a large red 'A'.
N109;Bank;die;Banken;bank;[baŋk];Ich muss zur Bank gehen.;I have to go to the bank.;Places;Finance;common,daily;56;16;1;Feminine;die Bank;die Bank;der Bank;der Bank;Also means 'bench' (`die Bank, die Bänke`).
N110;Post;die;(no plural);post office, mail;[pɔst];Die Post kommt um 10 Uhr.;The mail arrives at 10 o'clock.;Places;Services;common,daily;55;28;1;Feminine;die Post;die Post;der Post;der Post;
N111;Hotel;das;Hotels;hotel;[hoˈtɛl];Wir übernachten in einem Hotel.;We are staying in a hotel.;Places;Travel;travel;54;29;1;Neuter;das Hotel;das Hotel;dem Hotel;des Hotels;
N112;Museum;das;Museen;museum;[muˈzeːʊm];Das Deutsche Museum ist in München.;The Deutsches Museum is in Munich.;Places;Leisure;leisure,travel;53;26;2;Neuter;das Museum;das Museum;dem Museum;des Museums;
N113;Kino;das;Kinos;cinema, movie theater;[ˈkiːno];Gehen wir heute Abend ins Kino?;Shall we go to the cinema tonight?;Places;Leisure;leisure,hobby;52;26;1;Neuter;das Kino;das Kino;dem Kino;des Kinos;
N114;Theater;das;Theater;theater;[teˈaːtɐ];Ich gehe nicht oft ins Theater.;I don't go to the theater often.;Places;Leisure;leisure;51;26;1;Neuter;das Theater;das Theater;dem Theater;des Theaters;
N115;Konzert;das;Konzerte;concert;[kɔnˈt͡sɛʁt];Das Konzert war fantastisch.;The concert was fantastic.;Leisure;Events;leisure,music;50;26;1;Neuter;das Konzert;das Konzert;dem Konzert;des Konzertes;
N116;Party;die;Partys;party;[ˈpaʁti];Die Party beginnt um 20 Uhr.;The party starts at 8 PM.;Leisure;Events;leisure,social;49;26;1;Feminine;die Party;die Party;der Party;der Party;
N117;Geburtstag;der;Geburtstage;birthday;[ɡəˈbuːɐ̯t͡sˌtaːk];Alles Gute zum Geburtstag!;Happy birthday!;Events;Celebrations;common,family;58;27;2;Masculine;der Geburtstag;den Geburtstag;dem Geburtstag;des Geburtstages;
N118;Weihnachten;das;(no plural);Christmas;[ˈvaɪ̯naxtən];Frohe Weihnachten!;Merry Christmas!;Events;Holidays;holiday;55;27;1;Neuter;das Weihnachten;das Weihnachten;dem Weihnachten;des Weihnachtens;Celebrated on the 24th (Heiligabend) and 25th/26th.
N119;Ostern;das;(no plural);Easter;[ˈoːstɐn];Frohe Ostern!;Happy Easter!;Events;Holidays;holiday;54;27;1;Neuter;das Ostern;das Ostern;dem Ostern;des Osterns;
N120;Silvester;das;(no plural);New Year's Eve;[zɪlˈvɛstɐ];Was machst du an Silvester?;What are you doing on New Year's Eve?;Events;Holidays;holiday;53;27;1;Neuter;das Silvester;das Silvester;dem Silvester;des Silvesters;Known for huge fireworks displays.
N121;Moment;der;Momente;moment;[moˈmɛnt];Einen Moment, bitte.;One moment, please.;Time;Measurement;common,daily;65;2;1;Masculine;der Moment;den Moment;dem Moment;des Momentes;
N122;Anfang;der;Anfänge;beginning;[ˈanˌfaŋ];Aller Anfang ist schwer.;Every beginning is hard.;Time;Periods;common,abstract;64;15;2;Masculine;der Anfang;den Anfang;dem Anfang;des Anfanges;
N123;Ende;das;Enden;end;[ˈɛndə];Das ist das Ende vom Film.;That is the end of the movie.;Time;Periods;common,abstract;63;15;1;Neuter;das Ende;das Ende;dem Ende;des Endes;
N124;Wochenende;das;Wochenenden;weekend;[ˈvɔxənˌɛndə];Schönes Wochenende!;Have a nice weekend!;Time;Periods;common,daily;68;10;1;Neuter;das Wochenende;das Wochenende;dem Wochenende;des Wochenendes;
N125;Januar;der;Januare;January;[ˈjanuaːɐ̯];Im Januar ist es kalt.;It's cold in January.;Time;Months;calendar;50;8;1;Masculine;der Januar;den Januar;dem Januar;des Januars;
N126;Februar;der;Februare;February;[ˈfeːbʁuaːɐ̯];Der Februar ist kurz.;February is short.;Time;Months;calendar;50;8;1;Masculine;der Februar;den Februar;dem Februar;des Februars;
N127;März;der;Märze;March;[mɛʁt͡s];Im März beginnt der Frühling.;Spring begins in March.;Time;Months;calendar;50;8;1;Masculine;der März;den März;dem März;des Märzes;
N128;April;der;Aprile;April;[aˈpʁɪl];Der April macht, was er will.;April does what it wants.;Time;Months;calendar;50;8;1;Masculine;der April;den April;dem April;des Aprils;A saying about the unpredictable weather.
N129;Mai;der;Maie;May;[maɪ̯];Der erste Mai ist ein Feiertag.;The first of May is a public holiday.;Time;Months;calendar;50;8;1;Masculine;der Mai;den Mai;dem Mai;des Mais;
N130;Juni;der;Junis;June;[ˈjuːni];Im Juni ist es warm.;It's warm in June.;Time;Months;calendar;50;8;1;Masculine;der Juni;den Juni;dem Juni;des Junis;
N131;Juli;der;Julis;July;[ˈjuːli];Der Juli ist ein Sommermonat.;July is a summer month.;Time;Months;calendar;50;8;1;Masculine;der Juli;den Juli;dem Juli;des Julis;
N132;August;der;Auguste;August;[aʊ̯ˈɡʊst];Wir haben im August Urlaub.;We have vacation in August.;Time;Months;calendar;50;8;1;Masculine;der August;den August;dem August;des Augusts;
N133;September;der;September;September;[zɛpˈtɛmbɐ];Im September fängt die Schule an.;School starts in September.;Time;Months;calendar;50;8;1;Masculine;der September;den September;dem September;des Septembers;
