id,day_reference,category,question_type,prompt,correct_answer,option_b,option_c,helper_text
22,3,Small Talk,multiple_choice,"Wie geht es ___? (informal)","dir","dich","du","Dative pronoun for 'you' (informal)."
23,3,Numbers,multiple_choice,"What is 17 in German?","siebzehn","siebenzehn","siebzig","The 'en' from 'sieben' is dropped."
24,3,Small Talk,multiple_choice,"A good response to 'Wie geht's?' is:","Gut, danke.","Ich bin gut.","Ich habe gut.","'Good, thanks.'"
25,3,Numbers,fill_in_blank,"The number 20 is ___.","zwanzig","zwei","zehn","The 'zig' ending for tens."
26,3,Small Talk,multiple_choice,"How do you ask 'And you?' formally after someone asks how you are?","Und Ihnen?","Und du?","Und Sie?","Using the formal dative pronoun."
27,3,Numbers,multiple_choice,"What is 'one' in German?","eins","ein","eine","The number itself is 'eins'."
28,3,Small Talk,fill_in_blank,"A so-so response to 'Wie geht's?' is 'Es ___.'","geht","ist","habe","'It's going' or 'It's okay'."
29,3,Numbers,build_sentence,"Ich|bin|Jahre|alt|30","Ich bin 30 Jahre alt.","","","Saying your age."
30,3,Small Talk,multiple_choice,"What does 'Auch gut' mean?","Also good","And good","All good","A common response meaning 'Good as well'."
31,4,Verbs,fill_in_blank,"Ich ___ müde.","bin","ist","bist","Conjugation of 'sein' for 'ich'."
32,4,Verbs,multiple_choice,"___ du aus Spanien?","Bist","Ist","Bin","Conjugation of 'sein' for 'du'."
33,4,Sentences,multiple_choice,"How do you make 'Er ist hier' a question?","Ist er hier?","Er ist hier?","Hier ist er?","Invert the subject and verb."
34,4,Verbs,fill_in_blank,"Wir ___ Studenten.","sind","seid","ist","Conjugation of 'sein' for 'wir'."
35,4,Negation,multiple_choice,"How do you negate 'Das ist teuer'?","Das ist nicht teuer.","Das ist kein teuer.","Das nicht ist teuer.","'nicht' negates adjectives."
36,4,Verbs,multiple_choice,"Ihr ___ sehr nett.","seid","sind","bin","Conjugation of 'sein' for 'ihr'."
37,4,Sentences,fill_in_blank,"'Ja, ich ___ aus Kanada.'","bin","ist","sind","Answering a question about origin."
38,4,Verbs,multiple_choice,"Das Auto ___ neu.","ist","sind","bist","Conjugation of 'sein' for 'es' (das Auto)."
39,4,Negation,build_sentence,"Ich|müde|bin|nicht","Ich bin nicht müde.","","","'nicht' follows the conjugated verb."
40,4,Verbs,multiple_choice,"Frau Meier, ___ Sie die Lehrerin?","sind","ist","seid","Conjugation of 'sein' for formal 'Sie'."
41,5,Verbs,fill_in_blank,"Ich ___ einen Hund.","habe","hast","hat","Conjugation of 'haben' for 'ich'."
42,5,Verbs,multiple_choice,"___ du Zeit?","Hast","Habe","Hat","Conjugation of 'haben' for 'du'."
43,5,W-Fragen,fill_in_blank,"___ ist das? (Asking 'what')","Was","Wer","Wo","The W-word for 'what'."
44,5,Negation,multiple_choice,"How do you negate 'Ich habe ein Auto'?","Ich habe kein Auto.","Ich habe nicht Auto.","Ich nicht habe Auto.","'kein' negates nouns with an indefinite article."
45,5,Verbs,fill_in_blank,"Er ___ Hunger.","hat","habe","hast","Conjugation of 'haben' for 'er'."
46,5,W-Fragen,multiple_choice,"___ kommst du? (Asking 'where from')","Woher","Wo","Wohin","'Woher' for origin."
47,5,Negation,multiple_choice,"She has no time.","Sie hat keine Zeit.","Sie hat nicht Zeit.","Sie kein hat Zeit.","'keine' is the form of 'kein' for feminine nouns."
48,5,Verbs,multiple_choice,"Wir ___ eine Frage.","haben","habt","hat","Conjugation of 'haben' for 'wir'."
49,5,W-Fragen,fill_in_blank,"___ gehst du? (Asking 'where to')","Wohin","Wo","Woher","'Wohin' for destination."
50,5,Verbs,multiple_choice,"Was ___ ihr?","habt","haben","hat","Conjugation of 'haben' for 'ihr'."
51,6,Nouns,multiple_choice,"What is the gender of 'Stuhl' (chair)?","der (masculine)","die (feminine)","das (neuter)","der Stuhl."
52,6,Articles,fill_in_blank,"Das ist ___ Lampe. (a lamp)","eine","ein","einen","die Lampe (feminine)."
53,6,Nouns,multiple_choice,"What is the gender of 'Mädchen' (girl)?","das (neuter)","die (feminine)","der (masculine)","Words ending in '-chen' are neuter."
54,6,Articles,fill_in_blank,"Hier ist ___ Buch. (the book)","das","der","die","das Buch (neuter)."
55,6,Plurals,multiple_choice,"The plural of 'das Kind' is...","die Kinder","die Kinde","die Kindern","An '-er' plural."
56,6,Articles,multiple_choice,"Which article is used for ALL plural nouns in the nominative case?","die","der","das","e.g., die Stühle, die Lampen, die Bücher."
57,6,Nouns,fill_in_blank,"A word ending in '-ung', like 'die Zeitung' (newspaper), is usually ___.","feminine","masculine","neuter","A common gender rule."
58,6,Articles,fill_in_blank,"Das ist ___ Tisch. (a table)","ein","eine","einen","der Tisch (masculine)."
59,6,Plurals,multiple_choice,"The plural of 'die Frau' is...","die Frauen","die Fraue","die Frau","An '-(e)n' plural."
60,6,Articles,multiple_choice,"'___ Lehrer ist nett.' (The teacher is nice.)","Der","Die","Das","der Lehrer (masculine)."
61,7,Review,multiple_choice,"How do you ask a friend 'How are you?'","Wie geht es dir?","Wie geht es Ihnen?","Wie sind Sie?","Informal question."
62,7,Review,fill_in_blank,"Ich ___ keine Zeit.","habe","bin","ist","To have no time."
63,7,Review,multiple_choice,"What is the article for 'Apfel' (apple)?","der","die","das","der Apfel."
64,7,Review,multiple_choice,"'Tschüss' is an ___ way to say goodbye.","informal","formal","old","Used with friends and family."
65,7,Review,fill_in_blank,"___ du müde?","Bist","Hast","Ist","Using the verb 'sein'."
66,7,Review,multiple_choice,"How do you say 'I don't have a dog'?","Ich habe keinen Hund.","Ich habe nicht Hund.","Ich bin kein Hund.","Negating a masculine noun."
67,7,Review,build_sentence,"ist|das|Was|?","Was ist das?","","","Asking 'What is that?'"
68,7,Review,multiple_choice,"The pronoun for 'you' (formal) is...","Sie","du","ihr","Always capitalized."
69,7,Review,fill_in_blank,"Er ___ aus den USA.","kommt","wohnt","ist","'kommen aus' for origin."
70,7,Review,multiple_choice,"The number 15 is...","fünfzehn","fünfzig","fünftehn","'five-ten'."
71,8,Verbs,fill_in_blank,"Ich ___ Deutsch.","lerne","lernst","lernt","Regular verb conjugation for 'ich'."
72,8,Verbs,multiple_choice,"Was ___ du?","machst","mache","macht","Regular verb conjugation for 'du'."
73,8,Verbs,fill_in_blank,"Er ___ in Berlin.","wohnt","wohne","wohnst","Regular verb conjugation for 'er'."
74,8,Verbs,multiple_choice,"Wir ___ Fußball.","spielen","spielt","spiele","Regular verb conjugation for 'wir'."
75,8,Verbs,fill_in_blank,"Ihr ___ oft.","kocht","kochen","koche","Regular verb conjugation for 'ihr'."
76,8,Verbs,multiple_choice,"Sie (they) ___ ein Buch.","kaufen","kaufe","kauft","Regular verb conjugation for 'sie' (they)."
77,8,Verbs,fill_in_blank,"Du ___ (arbeiten) viel.","arbeitest","arbeitst","arbeite","Add an extra '-e-' for stems ending in -t."
78,8,Verbs,multiple_choice,"Er ___ (öffnen) die Tür.","öffnet","öffnt","öffnen","Add an extra '-e-' for pronunciation."
79,8,Verbs,build_sentence,"Ich|Musik|höre","Ich höre Musik.","","","Subject-verb-object."
80,8,Verbs,fill_in_blank,"Was ___ (kosten) das?","kostet","kostest","koste","'das' takes the er/sie/es form."
81,9,Cases,multiple_choice,"Ich sehe ___ Hund. (the dog)","den","der","dem","Accusative case for masculine nouns."
82,9,Cases,fill_in_blank,"Er kauft ___ Stuhl. (a chair)","einen","ein","eine","Accusative case for masculine nouns."
83,9,Cases,multiple_choice,"Sie liest ___ Zeitung. (the newspaper)","die","den","der","Accusative for feminine nouns doesn't change."
84,9,Cases,fill_in_blank,"Wir haben ___ Auto. (a car)","ein","einen","eine","Accusative for neuter nouns doesn't change."
85,9,Cases,multiple_choice,"Hast du ___ Schlüssel? (the key, masc.)","den","der","dem","'haben' takes an accusative object."
86,9,Cases,multiple_choice,"Ich brauche ___ Kaffee. (a coffee, masc.)","einen","ein","eine","'brauchen' takes an accusative object."
87,9,Cases,fill_in_blank,"Sie isst ___ Banane. (a banana, fem.)","eine","ein","einen","'essen' takes an accusative object."
88,9,Cases,multiple_choice,"Er trinkt ___ Wasser. (the water, neut.)","das","den","der","'trinken' takes an accusative object."
89,9,Cases,build_sentence,"Ich|den|sehe|Mann","Ich sehe den Mann.","","","Accusative direct object."
90,9,Cases,fill_in_blank,"Ich liebe ___ Stadt. (the city, fem.)","die","den","der","Accusative case with 'lieben'."
91,10,Verbs,fill_in_blank,"Er ___ Deutsch. (sprechen)","spricht","sprecht","sprechst","Stem-changing verb e -> i."
92,10,Verbs,multiple_choice,"___ du das Buch? (lesen)","Liest","Lesst","Lest","Stem-changing verb e -> ie."
93,10,Verbs,fill_in_blank,"Sie ___ nach Hause. (fahren)","fährt","fahrt","fahret","Stem-changing verb a -> ä."
94,10,Verbs,multiple_choice,"Er ___ mir. (helfen)","hilft","helft","helfet","Stem-changing verb e -> i."
95,10,Verbs,fill_in_blank,"Was ___ du? (sehen)","siehst","sehst","seht","Stem-changing verb e -> ie."
96,10,Verbs,multiple_choice,"Der Bus ___ um 8 Uhr. (fahren)","fährt","fahrt","fahren","'Der Bus' is 'er'."
97,10,Verbs,fill_in_blank,"Du ___ den Ball. (nehmen)","nimmst","nehmst","nehme","Irregular stem-changing verb."
98,10,Verbs,multiple_choice,"Er ___ seinen Freund. (treffen)","trifft","trefft","treffst","Stem-changing verb e -> i."
99,10,Verbs,build_sentence,"Du|schnell|sehr|sprichst","Du sprichst sehr schnell.","","","Stem-changing verb with adverb."
100,10,Verbs,fill_in_blank,"Das Kind ___ ein Buch. (lesen)","liest","lese","lest","'Das Kind' is 'es'."
101,11,Food & Drink,multiple_choice,"How do you politely order a coffee?","Ich hätte gern einen Kaffee.","Ich will einen Kaffee.","Geben Sie mir einen Kaffee.","'Ich hätte gern...' is the most polite form."
102,11,Food & Drink,fill_in_blank,"Die ___, bitte! (The bill, please!)","Rechnung","Karte","Bestellung","Asking to pay."
103,11,Food & Drink,multiple_choice,"The waiter asks: 'Zusammen oder getrennt?'. What does 'getrennt' mean?","Separate","Together","To go","Asking how you want to pay."
104,11,Food & Drink,fill_in_blank,"Ich nehme ___ Pizza. (the pizza)","die","den","das","'nehmen' takes an accusative object."
105,11,Food & Drink,multiple_choice,"What is 'das Frühstück'?","Breakfast","Lunch","Dinner","The first meal of the day."
106,11,Food & Drink,multiple_choice,"'Lecker!' means...","Delicious!","Disgusting!","Okay.","A common way to say food is good."
107,11,Food & Drink,fill_in_blank,"Ein Wasser ___, bitte. (with fizz)","mit Kohlensäure","ohne Kohlensäure","stilles","Sparkling water."
108,11,Food & Drink,multiple_choice,"What is 'der Nachtisch'?","Dessert","Appetizer","Main course","The sweet course at the end."
109,11,Food & Drink,build_sentence,"möchten|bezahlen|Wir|bitte","Wir möchten bezahlen, bitte.","","","A polite way to ask for the bill."
110,11,Food & Drink,multiple_choice,"If your bill is €18 and you give €20 and say 'Stimmt so', how much tip did you give?","€2","€0","€20","'Stimmt so' means 'keep the change'."
111,12,Time,multiple_choice,"What time is 'halb neun'?","8:30","9:30","8:50","'Half TO nine'."
112,12,Time,fill_in_blank,"Es ist viertel ___ drei. (2:45)","vor","nach","halb","'Quarter TO three'."
113,12,Time,multiple_choice,"How do you say 14:20 in official time?","vierzehn Uhr zwanzig","vierzehn zwanzig","zwanzig nach vierzehn","Official time uses 'Uhr'."
114,12,Time,fill_in_blank,"Wie ___ ist es?","spät","Uhr","Zeit","Asking for the time."
115,12,Time,multiple_choice,"What time is 'viertel nach zehn'?","10:15","10:45","9:45","'Quarter PAST ten'."
116,12,Time,fill_in_blank,"Der Film beginnt ___ 20 Uhr.","um","am","im","Preposition for specific times."
117,12,Time,multiple_choice,"A regional way to say 7:45 is '___ acht'.","dreiviertel","viertel","drei viertel","'Three-quarters TO eight'."
118,12,Time,fill_in_blank,"Es ist fünf nach ___ acht. (8:35)","halb","sieben","neun","'Five past half TO nine'."
119,12,Time,multiple_choice,"How do you say 10:00?","zehn Uhr","zehn","zehn am Morgen","'o'clock' is 'Uhr'."
120,12,Time,build_sentence,"ist|Es|sieben|Uhr","Es ist sieben Uhr.","","","Stating the time."
121,13,Dates,multiple_choice,"All days of the week in German are...","masculine (der)","feminine (die)","neuter (das)","der Montag, der Dienstag, etc."
122,13,Dates,fill_in_blank,"Was machst du ___ Wochenende?","am","im","um","Preposition for days and the weekend."
123,13,Dates,multiple_choice,"All months of the year in German are...","masculine (der)","feminine (die)","neuter (das)","der Januar, der Februar, etc."
124,13,Dates,fill_in_blank,"Ich habe ___ Juli Geburtstag.","im","am","um","Preposition for months and seasons."
125,13,Dates,multiple_choice,"What is 'gestern'?","yesterday","today","tomorrow","The day before today."
126,13,Dates,multiple_choice,"How do you say 'on Monday'?","Am Montag","Im Montag","Um Montag","'am' = an + dem."
127,13,Dates,fill_in_blank,"Der wievielte ist heute? Heute ist der ___. (3rd)","dritte","drei","dreite","Ordinal numbers have exceptions."
128,13,Dates,multiple_choice,"What is 'der Herbst'?","Autumn / Fall","Spring","Winter","One of the four seasons."
129,13,Dates,build_sentence,"ist|heute|Mittwoch","Heute ist Mittwoch.","","","Stating the day of the week."
130,13,Dates,fill_in_blank,"Der Termin ist am ___. (21st)","einundzwanzigsten","einundzwanzigste","einundzwanzig","For dates from 20 onwards, add '-sten'."
131,14,Review,multiple_choice,"Ich sehe ___ Film.","den","der","dem","Accusative case for a masculine noun."
132,14,Review,fill_in_blank,"Er ___ sehr schnell. (fahren)","fährt","fahrt","fahre","Stem-changing verb a -> ä."
133,14,Review,multiple_choice,"What time is 'halb sieben'?","6:30","7:30","6:50","'Half TO seven'."
134,14,Review,fill_in_blank,"Wir treffen uns ___ Freitag.","am","im","um","Preposition for days."
135,14,Review,multiple_choice,"Er ___ (lesen) die Zeitung.","liest","lese","lest","Stem-changing verb e -> ie."
136,14,Review,multiple_choice,"How do you say 'I need a pen'? ('der Stift')","Ich brauche einen Stift.","Ich brauche ein Stift.","Ich brauche dem Stift.","'brauchen' takes the accusative."
137,14,Review,build_sentence,"du|Was|heute|machst|?","Was machst du heute?","","","W-question word order."
138,14,Review,fill_in_blank,"Ich habe ___ Oktober Geburtstag.","im","am","um","Preposition for months."
139,14,Review,multiple_choice,"A key aspect of German culture is ___ (punctuality).","Pünktlichkeit","Freundlichkeit","Höflichkeit","Being on time is very important."
140,14,Review,multiple_choice,"'Ich gehe einkaufen' means...","I'm going grocery shopping.","I'm going shopping for clothes.","I'm going to a department store.","A common phrase for food shopping."
141,15,Cases,multiple_choice,"Ich helfe ___ Mann. (the man)","dem","den","der","'helfen' takes the dative case."
142,15,Cases,fill_in_blank,"Das Geschenk ist von ___ Frau. (my mother)","meiner","meine","meinen","'von' is a dative preposition."
143,15,Cases,multiple_choice,"Wir fahren mit ___ Bus. (the bus)","dem","den","der","'mit' is a dative preposition."
144,15,Cases,fill_in_blank,"Die Pizza schmeckt ___ Kind. (the child)","dem","das","den","'schmecken' takes the dative case."
145,15,Cases,multiple_choice,"Das Auto gehört ___ Frau. (the woman)","der","die","dem","'gehören' takes the dative case."
146,15,Cases,fill_in_blank,"Er kommt aus ___ Schweiz. (Switzerland, fem.)","der","die","dem","'aus' is a dative preposition."
147,15,Cases,multiple_choice,"Ich danke ___. (you, formal)","Ihnen","Sie","Sich","'danken' takes the dative case."
148,15,Cases,multiple_choice,"Das Buch gefällt ___ gut. (me)","mir","mich","ich","'gefallen' takes the dative case."
149,15,Cases,fill_in_blank,"Ich spiele mit ___ Kindern. (the children)","den","die","dem","Dative plural gets 'den' and the noun adds an '-n'."
150,15,Cases,build_sentence,"Ich|dem|gebe|Hund|Futter","Ich gebe dem Hund Futter.","","","Dative indirect object."
151,16,Modal Verbs,multiple_choice,"Ich ___ gut schwimmen.","kann","will","muss","Expressing ability."
152,16,Modal Verbs,fill_in_blank,"Was ___ du machen?","willst","will","wollen","Conjugation of 'wollen' for 'du'."
153,16,Modal Verbs,build_sentence,"kann|singen|Er|nicht","Er kann nicht singen.","","","Modal verb in position 2, main verb at the end."
154,16,Modal Verbs,multiple_choice,"Wir ___ eine Pizza bestellen.","wollen","können","wolle","Expressing a desire/intention."
155,16,Modal Verbs,fill_in_blank,"___ du mir helfen?","Kannst","Willst","Musst","Asking for ability/help."
156,16,Modal Verbs,multiple_choice,"Sie (she) ___ nach Hause gehen.","will","kann","wollen","Conjugation of 'wollen' for 'sie'."
157,16,Modal Verbs,build_sentence,"Deutsch|lernen|Ich|will","Ich will Deutsch lernen.","","","Word order with modal verbs."
158,16,Modal Verbs,multiple_choice,"Ihr ___ jetzt spielen.","könnt","können","kann","Conjugation of 'können' for 'ihr'."
159,16,Modal Verbs,fill_in_blank,"Ich ___ das nicht verstehen.","kann","will","muss","Expressing inability."
160,16,Modal Verbs,multiple_choice,"A more polite way to say 'Ich will ein Wasser' is...","Ich hätte gern ein Wasser.","Ich kann ein Wasser.","Ich muss ein Wasser.","'wollen' can sound demanding."
161,17,Modal Verbs,multiple_choice,"Ich ___ heute arbeiten. (I have to)","muss","soll","darf","Expressing necessity."
162,17,Modal Verbs,fill_in_blank,"Du ___ hier nicht rauchen. (not allowed)","darfst","musst","sollst","Expressing prohibition."
163,17,Modal Verbs,multiple_choice,"Der Arzt sagt, ich ___ im Bett bleiben.","soll","muss","darf","Expressing advice or duty from someone else."
164,17,Modal Verbs,build_sentence,"Wir|Ticket|kaufen|ein|müssen","Wir müssen ein Ticket kaufen.","","","Word order with modal verbs."
165,17,Modal Verbs,multiple_choice,"'Du musst nicht gehen' means...","You don't have to go.","You must not go.","You should not go.","'nicht müssen' = no obligation."
166,17,Modal Verbs,fill_in_blank,"___ ich die Tür öffnen? (Am I allowed?)","Darf","Muss","Soll","Asking for permission."
167,17,Modal Verbs,multiple_choice,"Ihr ___ eure Hausaufgaben machen. (have to)","müsst","müssen","muss","Conjugation of 'müssen' for 'ihr'."
168,17,Modal Verbs,fill_in_blank,"Man ___ hier leise sein. (is supposed to)","soll","darf","muss","General recommendation or rule."
169,17,Modal Verbs,multiple_choice,"What is the difference between 'Ich muss lernen' and 'Ich soll lernen'?","'muss' is a personal necessity, 'soll' is an external duty.","'soll' is stronger than 'muss'.","There is no difference.","'muss' (I have to) vs. 'soll' (I'm supposed to)."
170,17,Modal Verbs,build_sentence,"du|nicht|Das|machen|musst","Du musst das nicht machen.","","","Negating with 'nicht müssen'."
171,18,Directions,multiple_choice,"How do you say 'straight ahead'?","geradeaus","links","rechts","Basic direction."
172,18,Directions,fill_in_blank,"Gehen Sie die erste Straße ___.","links","link","linken","Basic direction."
173,18,Directions,multiple_choice,"Wie komme ich ___ Bahnhof?","zum","zu dem","zu","'zum' is a contraction of 'zu dem'."
174,18,Directions,build_sentence,"Sie|an|vorbei|der|Post|Gehen","Gehen Sie an der Post vorbei.","","","Giving directions: 'Go past the post office'."
175,18,Directions,fill_in_blank,"Entschuldigung, ich suche ___ Apotheke.","die","den","das","'suchen' takes the accusative case."
176,18,Directions,multiple_choice,"'Die Bushaltestelle' is the...","bus stop","train station","airport","A place to catch the bus."
177,18,Directions,fill_in_blank,"Fahren Sie durch ___ Park.","den","der","dem","'durch' is an accusative preposition."
178,18,Directions,multiple_choice,"What does 'auf der linken Seite' mean?","on the left side","on the right side","on the other side","Indicating location."
179,18,Directions,fill_in_blank,"Gehen Sie über ___ Brücke.","die","den","der","'über' (across) is an accusative preposition here."
180,18,Directions,multiple_choice,"A polite way to start asking for directions is...","Entschuldigung...","Hallo...","Hör mal...","'Excuse me...'"
181,19,Shopping,multiple_choice,"What do you say if you're 'just looking'?","Ich schaue nur.","Ich suche nur.","Ich kaufe nur.","A very useful phrase in shops."
182,19,Shopping,fill_in_blank,"Was ___ das? (How much...)","kostet","kaufen","kosten","Asking for the price."
183,19,Shopping,multiple_choice,"The shop assistant asks: 'Zahlen Sie mit Karte oder bar?'. 'Bar' means...","cash","card","check","Paying with physical money."
184,19,Shopping,fill_in_blank,"Ich suche ___ Pullover.","einen","ein","eine","'suchen' takes the accusative."
185,19,Shopping,multiple_choice,"'Die Umkleidekabine' is the...","changing room","cash register","exit","Where you try on clothes."
186,19,Shopping,fill_in_blank,"Haben Sie das in Größe ___? (size L)","L","Groß","Lang","Sizes are often referred to by letter."
187,19,Shopping,multiple_choice,"What is 'die Bäckerei'?","bakery","butcher","supermarket","Where you buy bread."
188,19,Shopping,fill_in_blank,"Ich nehme ___, bitte. (this)","das","den","die","'das' can mean 'this' or 'that'."
189,19,Shopping,build_sentence,"Ihnen|helfen|kann|ich|?","Kann ich Ihnen helfen?","","","A common question from a shop assistant."
190,19,Shopping,multiple_choice,"'Der Kassenzettel' is the...","receipt","price tag","shopping bag","The paper you get after paying."
191,20,Separable Verbs,build_sentence,"Ich|meine|an|rufe|Mutter","Ich rufe meine Mutter an.","","","Prefix 'an-' goes to the end."
192,20,Separable Verbs,multiple_choice,"Wann stehst du ___?","auf","an","aus","'aufstehen' - to get up."
193,20,Separable Verbs,fill_in_blank,"Er kauft im Supermarkt ___.","ein","an","aus","'einkaufen' - to go grocery shopping."
194,20,Separable Verbs,multiple_choice,"Kommst du heute Abend ___?","mit","an","zu","'mitkommen' - to come with/along."
195,20,Separable Verbs,build_sentence,"bitte|das|an|Licht|Machst|du|?","Machst du bitte das Licht an?","","","'anmachen' - to turn on."
196,20,Separable Verbs,multiple_choice,"With a modal verb, a separable verb...","stays together at the end.","separates as usual.","goes to position 2.","e.g., Ich will dich anrufen."
197,20,Separable Verbs,fill_in_blank,"Ich muss mein Zimmer ___.","aufräumen","räume auf","aufraüme","'aufräumen' - to clean up."
198,20,Separable Verbs,multiple_choice,"Der Zug kommt um 8 Uhr ___.","an","ein","auf","'ankommen' - to arrive."
199,20,Separable Verbs,fill_in_blank,"Sie sieht sehr müde ___.","aus","an","auf","'aussehen' - to look/appear."
200,20,Separable Verbs,multiple_choice,"Was bedeutet 'zuhören'?","to listen to","to hear","to close","A common separable verb."
201,21,Review,multiple_choice,"Ich fahre mit ___ Zug.","dem","den","der","'mit' is a dative preposition."
202,21,Review,build_sentence,"du|mitkommen|Willst|?","Willst du mitkommen?","","","Modal verb + separable verb."
203,21,Review,fill_in_blank,"Er ___ (helfen) seiner Schwester.","hilft","helfe","helft","'helfen' is a stem-changing verb that takes dative."
204,21,Review,multiple_choice,"Man ___ hier nicht rauchen.","darf","muss","soll","Prohibition."
205,21,Review,fill_in_blank,"Der Film fängt um 20 Uhr ___.","an","auf","ein","'anfangen' - to begin."
206,21,Review,multiple_choice,"What is 'Pfand'?","A deposit on bottles/cans","A type of bread","A shopping bag","A key part of German recycling culture."
207,21,Review,build_sentence,"Ich|meinen|anrufen|soll|Freund","Ich soll meinen Freund anrufen.","","","Modal verb + separable verb."
208,21,Review,multiple_choice,"'Das Auto gehört ___'. (the man)","dem Mann","den Mann","der Mann","'gehören' takes the dative."
209,21,Review,fill_in_blank,"Ich gebe ___ ein Geschenk. (you, informal)","dir","dich","du","'geben' takes an indirect (dative) object."
210,21,Review,multiple_choice,"On Sundays, most shops in Germany are...","closed","open","open for a few hours","'Sonntagsruhe' - Sunday rest."
211,22,Perfect Tense,fill_in_blank,"Ich habe Deutsch ___.","gelernt","gelernen","lernte","Past participle of regular verbs: ge- + stem + -t."
212,22,Perfect Tense,multiple_choice,"Was hast du gestern ___?","gemacht","gemachen","machte","Past participle of 'machen'."
213,22,Perfect Tense,build_sentence,"Wir|gespielt|Fußball|haben","Wir haben Fußball gespielt.","","","'haben' in pos. 2, participle at the end."
214,22,Perfect Tense,fill_in_blank,"Er hat in Wien ___.","studiert","gestudiert","studierte","Verbs ending in '-ieren' don't take 'ge-'."
215,22,Perfect Tense,multiple_choice,"Sie hat gestern ___.","eingekauft","einkaufte","gekauft ein","Past participle of separable verbs: prefix-ge-stem-t."
216,22,Perfect Tense,fill_in_blank,"Hast du das Buch ___?","gelesen","gelest","liest","Irregular participle of 'lesen'."
217,22,Perfect Tense,multiple_choice,"Wir haben einen Film ___.","gesehen","geseht","sahen","Irregular participle of 'sehen'."
218,22,Perfect Tense,fill_in_blank,"Ich habe eine E-Mail ___.","geschrieben","geschreibt","schrieb","Irregular participle of 'schreiben'."
219,22,Perfect Tense,multiple_choice,"Er hat mit mir ___.","gesprochen","gesprecht","sprach","Irregular participle of 'sprechen'."
220,22,Perfect Tense,build_sentence,"Du|getrunken|hast|Kaffee|einen","Du hast einen Kaffee getrunken.","","","Word order in the perfect tense."
221,23,Perfect Tense,multiple_choice,"Which verb is NOT used with 'sein' in the perfect tense?","kaufen (to buy)","gehen (to go)","fahren (to drive)","'sein' is for motion or state change."
222,23,Perfect Tense,fill_in_blank,"Ich ___ nach Hause gegangen.","bin","habe","werde","'gehen' is a verb of motion."
223,23,Perfect Tense,multiple_choice,"Wir ___ nach Italien gefahren.","sind","haben","werden","'fahren' is a verb of motion."
224,23,Perfect Tense,fill_in_blank,"Er ___ gestern angekommen.","ist","hat","wird","'ankommen' is a verb of motion."
